"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"64","Nelspruit Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;Python;Rust;SQL;TypeScript","Cockroachdb;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Express;Svelte","Other","ChatGPT","Favorable","Employed, full-time"
"65","Durban Campus","IT","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Django;Flask","Oil & Gas","Andi","Adrenaline;Mintlify","Employed, full-time"
"66","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;Express;Node.js;Spring Boot","Other","ChatGPT","GitHub Copilot","Employed, full-time"
"67","Durban Campus","Computer Science","I am a developer by profession","Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Python","MongoDB;SQLite","Firebase","Flask;React","Financial Services","ChatGPT","Tabnine;Whispr AI","Not employed, but looking for work"
"68","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript","Dynamodb;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean","React;Spring Boot","Other","ChatGPT","GitHub Copilot;Synk Code","Employed, full-time;Student, part-time"
"69","Durban Campus","Data Science","I am learning to code","Student","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;Ruby","MySQL;PostgreSQL","Google Cloud;Netlify;Render","Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Not employed, but looking for work"
"70","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL","Cloudflare;Hetzner","Express;Fastify;Next.js;Node.js;React;Symfony","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"71","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS)","AngularJS;Node.js;React","Financial Services","ChatGPT;Phind","Rubber Duck.AI;Tabnine","Employed, full-time"
"72","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","C;Go;HTML/CSS;Java;JavaScript;PHP;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner;VMware","Angular;AngularJS;Express;Fastify;jQuery;Next.js;Node.js;React;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed;Student, part-time"
"73","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;VMware","Angular;Django;Node.js","Financial Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"74","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","PostgreSQL","Linode, now Akamai;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed, full-time"
"75","Durban Campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;Python","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Vercel","ASP.NET CORE;Play Framework;Spring Boot;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"76","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;PowerShell;SQL;Visual Basic (.Net)","Cloud Firestore;Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Oracle","Amazon Web Services (AWS);Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"77","Port Elizabeth Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;Java;JavaScript;Kotlin;SQL","H2;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","jQuery;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"78","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"79","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;SQL","Oracle;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","AngularJS;React","Oil & Gas","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"80","Durban Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript","Cloud Firestore;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;OpenShift;VMware","Express;jQuery;Node.js","Legal Services","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"81","Port Elizabeth Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;Java;PowerShell;TypeScript","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React;Spring Boot","Financial Services","ChatGPT","Adrenaline","Employed, full-time"
"82","Pretoria Campus","Computer Science","I am a developer by profession","Product manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;Python;SQL","Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","jQuery;Node.js;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time"
"83","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud","jQuery;Laravel;Symfony;Vue.js","Other","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"84","Pretoria Campus","Computer Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Dart;Java;JavaScript;Python;SQL;Swift;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Firebase;Google Cloud;Heroku;Render","Express;Node.js;React","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed, full-time"
"85","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;SQL","Microsoft SQL Server;Oracle;PostgreSQL","Digital Ocean","Angular","Oil & Gas","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"86","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;R;SQL","MariaDB;Microsoft SQL Server;MySQL;Redis;Solr","Cloudflare;Microsoft Azure","jQuery;Lit;Next.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"87","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;R;SAS;Scala;SQL","H2;IBM DB2;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Heroku;VMware","jQuery;Node.js;Spring Boot","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"88","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer Advocate","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;SQLite","Digital Ocean;Heroku;Microsoft Azure;Vercel","Express;Fastify;Flask;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js","Advertising Services","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"89","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Amazon Web Services (AWS)","jQuery;Symfony;WordPress","Retail and Consumer Services","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time"
"90","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL","Firebase","Angular;CodeIgniter;jQuery;Node.js;Spring Boot","Oil & Gas","Bing AI;ChatGPT;Perplexity AI","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"91","Port Elizabeth Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Lua;MATLAB;PowerShell;Zig","Microsoft SQL Server","Digital Ocean;Google Cloud;Microsoft Azure;Render","Deno;React;Svelte;Vue.js","Higher Education","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Independent contractor, freelancer, or self-employed;Student, part-time"
"92","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","Node.js;React","Other","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"93","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Hetzner","Express;Laravel;Node.js;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Employed, full-time"
"94","Nelspruit Campus","IT","I am a developer by profession","Developer Experience","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;C#;C++;Groovy;Java;JavaScript;Kotlin;PHP;SQL;Swift","IBM DB2;MySQL;Oracle;SQLite","Amazon Web Services (AWS);Google Cloud;IBM Cloud Or Watson;Microsoft Azure","Django;Spring Boot","Other","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"95","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;Oracle;SQLite","Heroku;Microsoft Azure;OpenShift","Express;Node.js;React;Remix;Spring Boot","Oil & Gas","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"96","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);JavaScript;Python;Rust","InfluxDB;MongoDB","Heroku;Hetzner;Linode, now Akamai;Oracle Cloud Infrastructure (OCI)","Vue.js","Wholesale","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Independent contractor, freelancer, or self-employed"
"97","Durban Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure;VMware","ASP.NET;ASP.NET CORE","Insurance","Bing AI;ChatGPT","AWS CodeWhisperer;Tabnine","Employed, full-time"
"98","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL","Elasticsearch;MySQL","Amazon Web Services (AWS)","AngularJS;jQuery;Symfony","Wholesale","ChatGPT","Favorable","Employed, full-time"
"99","Port Elizabeth Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","FastAPI;NestJS;Node.js;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"100","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;C++;Delphi;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","Firebird;IBM DB2;Microsoft Access;Microsoft SQL Server;PostgreSQL;RavenDB;SQLite","Heroku;Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Deno;Express;jQuery;Node.js;Vue.js","Legal Services","Bing AI","AWS CodeWhisperer","Independent contractor, freelancer, or self-employed"
"101","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","MySQL","Microsoft Azure","ASP.NET CORE;Blazor","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Adrenaline","Independent contractor, freelancer, or self-employed"
"102","Durban Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Rust;SQL;TypeScript","Cloud Firestore;Dynamodb;Elasticsearch;InfluxDB;MongoDB;MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Microsoft Azure;Vercel","Angular;ASP.NET CORE;Express;Fastify;NestJS;Next.js;Node.js;React;Svelte;Vue.js","Oil & Gas","Bing AI;ChatGPT;WolframAlpha","Adrenaline","Employed, full-time"
"103","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;TypeScript","PostgreSQL","Microsoft Azure","ASP.NET CORE","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","Tabnine","Employed, full-time"
"104","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Elixir;Erlang;JavaScript;PHP","Clickhouse;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Fly.io;Netlify","Express;Gatsby;Laravel;NestJS;Node.js","Retail and Consumer Services","ChatGPT;WolframAlpha","GitHub Copilot;Synk Code","Employed, full-time"
